accuracy,loss,acc_convergence,acc_valid,loss_valid,parameters,hidden_nodes,filters,filter_size,pooling_size,pooling_type,dropout
0.713,0.9649,0,True,True,14047,39,12,"(4, 4)","(5, 5)",average,47
0.9505,0.203,0,True,True,43540,117,9,"(4, 4)","(4, 4)",max,42
0.5456,1.4162,0,True,True,83119,32,68,"(4, 4)","(4, 4)",max,30
0.9255,0.2842,0,True,True,445518,186,29,"(2, 2)","(3, 3)",average,29
0.5967,1.226,0,True,True,153983,60,100,"(2, 2)","(5, 5)",max,54
0.9383,0.2647,0,True,True,1006991,111,46,"(3, 3)","(2, 2)",average,58
0.9672,0.1524,0,True,True,603323,98,36,"(5, 5)","(2, 2)",average,51
0.9409,0.2778,0,True,True,281474,111,97,"(5, 5)","(5, 5)",max,54
0.9182,0.3365,0,True,True,80554,179,5,"(3, 3)","(3, 3)",average,56
0.9718,0.1221,0,True,True,316464,238,51,"(4, 4)","(5, 5)",max,49
0.9786,0.0914,8,True,False,699850,219,87,"(4, 4)","(4, 4)",max,21
0.8325,0.5926,0,True,True,201719,54,100,"(4, 4)","(4, 4)",max,58
0.9231,0.3305,0,True,True,875219,74,60,"(3, 3)","(2, 2)",max,41
0.6983,1.112,0,True,True,4119,50,1,"(5, 5)","(4, 4)",average,57
0.9178,0.3196,0,True,True,55349,60,34,"(4, 4)","(5, 5)",max,25
0.7864,0.7732,0,True,True,75877,26,35,"(3, 3)","(3, 3)",max,32
0.9771,0.0968,9,False,False,3167683,217,86,"(4, 4)","(2, 2)",average,25
0.9058,0.3719,0,True,True,174175,238,14,"(3, 3)","(4, 4)",average,66
0.9298,0.2806,0,True,True,101263,35,35,"(2, 2)","(3, 3)",max,14
0.9702,0.1208,6,False,False,1133968,190,35,"(4, 4)","(2, 2)",average,19
0.7915,0.6734,0,True,True,152591,107,55,"(2, 2)","(5, 5)",average,7
0.9627,0.1781,0,True,True,738431,94,46,"(5, 5)","(2, 2)",max,49
0.8464,0.5706,0,True,True,141755,65,84,"(3, 3)","(5, 5)",average,18
0.8048,0.6954,0,True,True,93623,175,10,"(2, 2)","(4, 4)",average,50
0.9255,0.3336,0,True,True,134215,51,69,"(5, 5)","(4, 4)",max,38
0.8051,0.6995,0,True,True,261689,60,22,"(2, 2)","(2, 2)",max,53
0.7786,0.8401,0,True,True,117163,24,72,"(5, 5)","(3, 3)",max,23
0.7335,0.9509,0,True,True,472595,26,92,"(3, 3)","(2, 2)",max,17
0.9599,0.1694,10,True,False,326677,60,66,"(4, 4)","(3, 3)",average,3
0.9815,0.105,0,True,True,255679,179,38,"(5, 5)","(4, 4)",max,52
0.8916,0.5049,0,True,True,439149,92,58,"(4, 4)","(3, 3)",max,68
0.9685,0.1274,9,True,True,284654,206,53,"(4, 4)","(5, 5)",max,21
0.8672,0.4503,0,True,True,264692,186,55,"(2, 2)","(5, 5)",average,9
0.8866,0.433,0,True,True,65462,51,25,"(3, 3)","(4, 4)",average,10
0.9001,0.3701,0,True,True,475641,226,42,"(2, 2)","(4, 4)",max,63
0.9563,0.1764,0,True,True,414754,103,49,"(3, 3)","(3, 3)",average,20
0.984,0.087,0,True,True,505471,235,58,"(5, 5)","(4, 4)",max,56
0.8141,0.6854,0,True,True,223866,42,65,"(2, 2)","(3, 3)",average,31
0.9591,0.1585,8,False,False,720773,250,35,"(3, 3)","(3, 3)",average,11
0.9527,0.1814,9,True,False,70899,162,8,"(3, 3)","(4, 4)",max,17
0.8715,0.4573,0,True,True,101099,215,17,"(2, 2)","(5, 5)",average,19
0.9414,0.275,0,True,True,696713,61,67,"(4, 4)","(2, 2)",max,53
0.9435,0.216,8,False,False,42983,190,5,"(5, 5)","(4, 4)",average,6
0.89,0.39,9,False,False,26612,71,9,"(4, 4)","(4, 4)",average,4
0.9184,0.3973,0,True,True,100703,63,19,"(4, 4)","(3, 3)",average,62
0.9688,0.1563,0,True,True,459590,191,93,"(5, 5)","(5, 5)",max,55
0.9568,0.192,8,False,False,72721,190,2,"(4, 4)","(2, 2)",average,12
0.9535,0.1701,0,True,True,395960,195,79,"(3, 3)","(5, 5)",max,32
0.9645,0.1629,0,True,True,331274,143,89,"(5, 5)","(5, 5)",max,55
0.6564,1.1757,0,True,True,32255,23,50,"(4, 4)","(5, 5)",average,40
0.9398,0.2206,0,True,True,615527,206,60,"(2, 2)","(4, 4)",max,32
0.9641,0.1584,0,True,True,1125651,102,56,"(3, 3)","(2, 2)",average,43
0.9634,0.1595,0,True,True,236559,42,68,"(4, 4)","(3, 3)",max,7
0.8994,0.4299,0,True,True,219183,48,23,"(3, 3)","(2, 2)",average,44
0.7381,1.0632,0,True,True,126647,35,54,"(5, 5)","(3, 3)",average,56
0.9672,0.1393,0,True,True,171104,123,37,"(4, 4)","(4, 4)",max,41
0.9583,0.1853,0,True,True,172765,94,22,"(4, 4)","(3, 3)",average,36
0.9096,0.3482,0,True,True,164591,99,64,"(3, 3)","(5, 5)",max,53
0.8482,0.6195,0,True,True,1088309,79,70,"(2, 2)","(2, 2)",max,48
0.9427,0.2955,0,True,True,128267,80,24,"(5, 5)","(3, 3)",max,57
0.6025,1.3408,0,True,True,199319,56,71,"(3, 3)","(4, 4)",max,59
0.7236,0.9673,0,True,True,3829,18,6,"(4, 4)","(5, 5)",average,2
0.8528,0.5244,0,True,True,567443,239,93,"(2, 2)","(5, 5)",max,69
0.4515,1.793,0,True,True,143631,23,76,"(2, 2)","(3, 3)",average,53
0.8843,0.4593,0,True,True,45677,31,38,"(4, 4)","(4, 4)",average,12
0.9587,0.1674,9,True,False,134335,152,23,"(5, 5)","(4, 4)",average,5
0.3482,2.2996,0,True,True,29731,22,16,"(2, 2)","(3, 3)",average,59
0.66,1.2939,0,True,True,72927,21,20,"(4, 4)","(2, 2)",average,47
0.9663,0.1475,5,False,False,89607,173,13,"(5, 5)","(4, 4)",max,0
0.9723,0.1129,7,False,False,2252012,156,85,"(4, 4)","(2, 2)",average,22
0.882,0.4424,0,True,True,133153,214,23,"(3, 3)","(5, 5)",average,45
0.7581,0.9173,0,True,True,208367,33,76,"(4, 4)","(3, 3)",max,46
0.9677,0.137,5,False,False,411927,216,11,"(5, 5)","(2, 2)",max,9
0.8003,0.7289,0,True,True,283376,35,41,"(2, 2)","(2, 2)",average,14
0.8482,0.5663,0,True,True,609687,43,72,"(2, 2)","(2, 2)",average,48
0.9777,0.1024,0,True,True,881429,234,22,"(4, 4)","(2, 2)",average,36
0.9386,0.2468,4,False,False,94333,154,7,"(3, 3)","(3, 3)",max,0
0.8675,0.455,0,True,True,272515,63,87,"(2, 2)","(4, 4)",average,4
0.957,0.1889,0,True,True,184067,85,26,"(4, 4)","(3, 3)",average,34
0.7889,0.7678,0,True,True,378051,87,53,"(2, 2)","(3, 3)",max,61
0.7661,0.8091,0,True,True,285068,134,83,"(2, 2)","(5, 5)",max,67
0.967,0.1275,7,False,False,1101719,207,82,"(5, 5)","(3, 3)",average,19
0.9761,0.1299,0,True,True,105719,179,15,"(5, 5)","(4, 4)",max,54
0.7668,0.7774,0,True,True,176598,31,69,"(3, 3)","(3, 3)",max,49
0.9223,0.2708,0,True,True,140645,98,55,"(3, 3)","(5, 5)",max,14
0.9679,0.139,0,True,True,620852,231,73,"(4, 4)","(4, 4)",average,40
0.9577,0.1755,0,True,True,147785,218,25,"(5, 5)","(5, 5)",max,70
0.9398,0.2288,0,True,True,348121,234,57,"(5, 5)","(5, 5)",average,42
0.2995,2.3491,0,True,True,47074,24,75,"(2, 2)","(5, 5)",max,62
0.9672,0.1314,6,False,False,2191452,210,53,"(2, 2)","(2, 2)",average,6
0.929,0.2476,10,True,True,361739,188,74,"(5, 5)","(5, 5)",average,12
0.9652,0.1407,0,True,True,1884959,174,55,"(3, 3)","(2, 2)",average,55
0.8911,0.4075,0,True,True,246880,126,39,"(2, 2)","(4, 4)",max,54
0.9728,0.1079,6,False,False,1344219,223,93,"(5, 5)","(3, 3)",max,19
0.897,0.3954,0,True,True,202561,49,83,"(2, 2)","(4, 4)",max,11
0.9693,0.1226,9,True,True,1435433,89,82,"(2, 2)","(2, 2)",average,11
0.912,0.4151,0,True,True,99631,96,27,"(5, 5)","(4, 4)",average,58
0.9786,0.097,0,True,True,528751,238,86,"(5, 5)","(5, 5)",max,44
0.9786,0.1023,10,True,True,121387,172,26,"(5, 5)","(5, 5)",max,17
0.9055,0.3876,0,True,True,222031,52,52,"(2, 2)","(3, 3)",average,17
0.9579,0.1802,0,True,True,1169911,112,53,"(3, 3)","(2, 2)",average,46
0.3335,2.1302,0,True,True,37859,20,72,"(2, 2)","(5, 5)",average,67
0.9054,0.3407,0,True,True,1031950,160,79,"(2, 2)","(3, 3)",max,60
0.9396,0.2563,0,True,True,478599,139,93,"(5, 5)","(4, 4)",average,62
0.9246,0.3241,0,True,True,1342415,131,52,"(3, 3)","(2, 2)",max,62
0.8611,0.5279,0,True,True,338399,71,96,"(2, 2)","(4, 4)",max,46
0.9514,0.2086,0,True,True,515399,228,61,"(5, 5)","(4, 4)",average,59
0.9361,0.2747,0,True,True,150206,52,35,"(2, 2)","(3, 3)",max,30
0.7094,0.9337,0,True,True,32303,23,48,"(5, 5)","(5, 5)",max,15
0.9261,0.3029,0,True,True,116167,46,50,"(3, 3)","(4, 4)",max,14
0.917,0.3763,0,True,True,886039,192,93,"(3, 3)","(4, 4)",max,68
0.9123,0.3271,0,True,True,480769,129,75,"(2, 2)","(4, 4)",average,15
0.8649,0.4751,0,True,True,262135,181,56,"(2, 2)","(5, 5)",average,15
0.7238,0.9641,0,True,True,319783,61,64,"(2, 2)","(3, 3)",max,67
0.9671,0.1325,6,False,False,1704846,213,47,"(5, 5)","(2, 2)",average,27
0.7147,1.0118,0,True,True,21856,23,11,"(3, 3)","(3, 3)",average,42
0.6001,1.248,0,True,True,57562,24,87,"(4, 4)","(5, 5)",average,16
0.6181,1.2726,0,True,True,92755,25,74,"(2, 2)","(4, 4)",max,33
0.6559,1.1067,0,True,True,18187,21,30,"(4, 4)","(5, 5)",average,13
0.9337,0.2708,0,True,True,45556,157,5,"(3, 3)","(4, 4)",max,35
0.9702,0.1365,0,True,True,304311,73,21,"(3, 3)","(2, 2)",max,21
0.9703,0.1268,0,True,True,1452083,104,82,"(5, 5)","(2, 2)",average,40
0.9237,0.2719,0,True,True,328415,103,64,"(2, 2)","(4, 4)",max,21
0.9726,0.1152,0,True,True,1353149,109,73,"(4, 4)","(2, 2)",max,33
0.9468,0.2177,10,True,True,93627,254,4,"(3, 3)","(3, 3)",average,15
0.9457,0.1939,10,True,True,985471,215,56,"(2, 2)","(3, 3)",average,20
0.6844,1.1226,0,True,True,77327,18,52,"(2, 2)","(3, 3)",max,22
0.9552,0.1765,7,False,False,120647,227,6,"(4, 4)","(3, 3)",average,0
0.9176,0.2941,0,True,True,612629,212,58,"(2, 2)","(4, 4)",average,18
0.9602,0.1811,0,True,True,150279,43,42,"(4, 4)","(3, 3)",max,24
0.9647,0.169,0,True,True,126479,44,75,"(5, 5)","(4, 4)",max,3
0.9418,0.2326,0,True,True,593801,110,66,"(2, 2)","(3, 3)",max,39
0.8569,0.4942,0,True,True,75860,122,23,"(2, 2)","(5, 5)",max,38
0.9402,0.2835,0,True,True,560669,206,33,"(3, 3)","(3, 3)",average,70
0.8466,0.5967,0,True,True,547480,84,33,"(2, 2)","(2, 2)",average,65
0.5245,1.6959,0,True,True,31352,17,61,"(5, 5)","(5, 5)",average,54
0.7269,0.9397,0,True,True,395256,52,93,"(2, 2)","(3, 3)",average,34
0.9701,0.1318,0,True,True,385973,61,37,"(4, 4)","(2, 2)",average,20
0.949,0.2472,0,True,True,998257,150,39,"(5, 5)","(2, 2)",average,67
0.8939,0.4469,0,True,True,283469,65,22,"(2, 2)","(2, 2)",max,40
0.9547,0.1706,9,True,False,820789,113,89,"(2, 2)","(3, 3)",max,15
0.9669,0.1386,10,True,False,491007,237,56,"(4, 4)","(4, 4)",average,13
0.9574,0.1789,0,True,True,212211,158,16,"(3, 3)","(3, 3)",max,65
0.9535,0.1772,0,True,True,1983895,168,60,"(2, 2)","(2, 2)",average,33
0.9549,0.1764,8,False,False,213621,175,6,"(2, 2)","(2, 2)",max,6
0.9423,0.317,0,True,True,199115,97,31,"(5, 5)","(3, 3)",average,65
0.6875,1.1759,0,True,True,488681,95,26,"(2, 2)","(2, 2)",average,66
0.9558,0.1794,0,True,True,598571,140,86,"(3, 3)","(4, 4)",average,8
0.972,0.1209,0,True,True,1665424,166,59,"(4, 4)","(2, 2)",average,54
0.9521,0.2059,0,True,True,220295,33,100,"(5, 5)","(3, 3)",max,14
0.9757,0.1065,0,True,True,301047,46,99,"(5, 5)","(3, 3)",max,6
0.9695,0.1259,5,False,False,741527,232,49,"(5, 5)","(3, 3)",max,22
0.9459,0.2301,0,True,True,354881,177,10,"(2, 2)","(2, 2)",max,50
0.9745,0.1031,0,True,True,950315,200,24,"(3, 3)","(2, 2)",max,43
0.9788,0.0998,0,True,True,1807277,113,94,"(5, 5)","(2, 2)",max,29
0.979,0.1015,0,True,True,1734370,126,81,"(4, 4)","(2, 2)",max,21
0.9783,0.1036,0,True,True,824183,209,48,"(4, 4)","(3, 3)",max,61
0.9676,0.1636,0,True,True,455403,198,62,"(5, 5)","(4, 4)",max,69
0.9693,0.1278,4,False,False,1490657,257,34,"(5, 5)","(2, 2)",average,17
0.9185,0.331,0,True,True,129957,93,53,"(4, 4)","(5, 5)",average,22
0.8631,0.6353,0,True,True,621741,115,66,"(3, 3)","(3, 3)",average,70
0.9592,0.1585,6,False,False,190072,154,47,"(4, 4)","(5, 5)",max,4
0.9398,0.2337,0,True,True,262331,102,100,"(3, 3)","(5, 5)",max,8
0.9733,0.1169,0,True,True,1320799,207,78,"(4, 4)","(3, 3)",average,47
0.966,0.1338,7,False,False,750739,183,63,"(5, 5)","(3, 3)",average,15
0.8829,0.4231,0,True,True,165027,124,51,"(3, 3)","(5, 5)",average,19
0.9762,0.1,0,True,True,1435079,143,59,"(4, 4)","(2, 2)",average,35
0.9806,0.0902,9,True,False,388683,175,60,"(4, 4)","(4, 4)",max,11
0.6245,1.2652,0,True,True,160572,66,65,"(4, 4)","(4, 4)",average,61
0.9711,0.1288,0,True,True,832248,244,93,"(4, 4)","(4, 4)",average,41
0.9554,0.1977,0,True,True,262281,232,30,"(4, 4)","(4, 4)",average,57
0.8614,0.493,0,True,True,108895,154,26,"(5, 5)","(5, 5)",average,70
0.9039,0.339,0,True,True,311102,161,75,"(3, 3)","(5, 5)",average,11
0.9332,0.3087,0,True,True,71884,57,33,"(4, 4)","(4, 4)",max,41
0.9439,0.2078,0,True,True,557623,219,51,"(2, 2)","(4, 4)",max,35
0.9779,0.1111,5,False,False,2108669,253,49,"(4, 4)","(2, 2)",average,13
0.8404,0.5584,0,True,True,236217,133,69,"(2, 2)","(5, 5)",average,30
0.983,0.0799,10,True,True,2045111,191,63,"(4, 4)","(2, 2)",max,27
0.9761,0.1069,0,True,True,1056369,229,27,"(4, 4)","(2, 2)",average,51
0.8723,0.5227,0,True,True,52351,142,4,"(2, 2)","(3, 3)",average,68
0.9601,0.1946,0,True,True,1174161,158,91,"(3, 3)","(3, 3)",average,60
0.9527,0.1704,7,False,False,554909,192,58,"(2, 2)","(4, 4)",max,4
0.8908,0.382,0,True,True,152798,82,37,"(2, 2)","(4, 4)",max,19
0.744,0.9375,0,True,True,958523,76,64,"(3, 3)","(2, 2)",max,67
0.6874,1.038,0,True,True,36023,18,76,"(2, 2)","(5, 5)",max,15
0.9064,0.3373,9,False,False,197392,69,57,"(3, 3)","(4, 4)",average,0
0.9699,0.1219,8,False,False,325345,193,65,"(4, 4)","(5, 5)",max,8
0.7458,0.9314,0,True,True,19521,47,10,"(4, 4)","(4, 4)",average,53
0.8911,0.4365,0,True,True,246575,148,20,"(2, 2)","(3, 3)",average,43
0.9251,0.3379,0,True,True,476343,73,33,"(3, 3)","(2, 2)",average,33
0.9549,0.1713,8,False,False,523023,211,96,"(5, 5)","(5, 5)",average,0
0.9839,0.0703,0,True,True,710155,180,48,"(4, 4)","(3, 3)",max,27
0.9836,0.0769,0,True,True,1368454,243,33,"(5, 5)","(2, 2)",max,40
0.863,0.4698,0,True,True,28104,87,11,"(3, 3)","(5, 5)",max,34
0.8067,0.6275,9,False,False,92753,58,61,"(3, 3)","(5, 5)",average,0
0.976,0.1079,0,True,True,352187,188,72,"(5, 5)","(5, 5)",max,39
0.9733,0.1138,5,False,False,1705988,176,57,"(4, 4)","(2, 2)",average,16
0.9623,0.1743,0,True,True,1468837,96,90,"(4, 4)","(2, 2)",max,52
0.6701,1.1499,0,True,True,159635,81,76,"(3, 3)","(5, 5)",average,69
0.9687,0.1273,10,True,True,586527,171,20,"(4, 4)","(2, 2)",average,33
0.3386,2.1852,0,True,True,62597,14,54,"(2, 2)","(3, 3)",max,62
0.8764,0.4612,0,True,True,293147,146,40,"(2, 2)","(4, 4)",max,58
0.9416,0.2208,10,True,True,303155,177,34,"(2, 2)","(4, 4)",max,13
0.7624,0.7632,0,True,True,28223,63,16,"(2, 2)","(5, 5)",average,11
0.9509,0.2287,0,True,True,851297,209,82,"(3, 3)","(4, 4)",max,64
0.7284,0.9129,0,True,True,19783,15,45,"(4, 4)","(5, 5)",max,9
0.9085,0.3699,0,True,True,27423,39,8,"(4, 4)","(3, 3)",average,12
